,features,importance
0,of_dist,0.12971173
1,humidity_narr,0.08707316
2,precip48_narr,0.08385054
3,wdirection_narr,0.082674034
4,windspeed_narr,0.08248079
5,airtemp_narr,0.08220229
6,week,0.05087414
7,total Nitrogen Oxide in year,0.04317851
8,cl_cover_narr,0.042115673
9,areaacres,0.030032283
10,precip3_narr,0.027798617
11,lc_21,0.026957441
12,lc_82,0.025195517
13,lc_31,0.023564316
14,lc_81,0.022751557
15,lc_41,0.020682717
16,lc_90,0.019835858
17,lc_42,0.019756285
18,year,0.019494839
19,lc_43,0.018443368
20,lc_71,0.018244442
21,lc_52,0.017903423
22,lc_95,0.01775565
23,sfc_runoff,0.0074228165
