,Feature Id,Importances
0,latitude,16.354755356392968
1,lc_82,14.595864862125767
2,of_dist,12.673442662009977
3,longitude,7.456735074733663
4,total Nitrogen Oxide in year,6.565148438438765
5,lc_9t,6.3224404687645235
6,za_mean,6.163047270137113
7,lc_2t,4.549188896278802
8,lc_4t,4.406663646302252
9,lc_52,4.193580087592437
10,lc_81,2.9166164657408182
11,lc_71,2.6203296259647595
12,areaacres,1.5808751885916956
13,lc_31,1.5266627285867704
14,date_delta,1.4315170442263652
15,precip24_narr,1.2833122101871295
16,dayofweek,1.0432077458965574
17,humidity_narr,0.9861422216044405
18,month,0.5453713736381616
19,precip48_narr,0.5194305203118063
20,week,0.3738275884671317
21,airtemp_narr,0.3723344749176567
22,year,0.34557384651984696
23,quarter,0.2978516777484972
24,wdirection_narr,0.22851081873075235
25,hour,0.18661056040121324
26,precip3_narr,0.17390430314809988
27,sfc_runoff,0.09960501755204099
28,cl_cover_narr,0.09604739526975549
29,windspeed_narr,0.04643479541222784
30,min,0.044967634307839
